pmid,pmcid,Title,pmid_citing,pmcid_citing,title_citing,citation,Retraction_Watch,Retraction_Watch_hierarchy,Retraction_Watch_citing,Retraction_Watch_citing_hierarchy,Category_openai,Justification_openai,Category_gemini,Justification_gemini,alignment,bert
19172190,2628740,Naloxone's Pentapeptide Binding Site on Filamin A Blocks Mu Opioid Receptor–Gs Coupling and CREB Activation of Acute Morphine,30248938,6313374,Low-Dose Naltrexone (LDN)—Review of Therapeutic Utilization,"The opioid receptor Gs-coupled response cascade has been associated with prolongation of action potential, hyperalgesia, tolerance, and dependence. A crucial element mediating μ-opioid receptor second messaging is the scaffolding protein filament called filamin-A (FLNA) [36,37]. Filamin-A contains a high-affinity binding site for naloxone and naltrexone (3.94 pM).","+Manipulation of Images
+Duplication of Image
+Concerns/Issues About Image
+Concerns/Issues About Data","{'Other', 'Data'}",,,Other,"The provided context does not explicitly mention using data, results, or methods from <RA>, nor does it indicate that the citing paper is demonstrating consistency with <RA>. Instead, it references background information about the opioid receptor response cascade and filamin-A, without specifying how <RA> is being used or its content.",Other,"The provided text discusses the association of opioid receptor Gs-coupled response cascade with various physiological effects and identifies filamin-A (FLNA) as a crucial element mediating μ-opioid receptor second messaging. It mentions that filamin-A contains a binding site for naloxone and naltrexone. While the citation [36,37] likely refers to the original work that established these associations or identified FLNA's role, the current context does not explicitly state that the citing paper is using data, results, methods, or showing consistency with a retracted article. It appears to be providing background information or establishing context for the current research. Without more specific phrases indicating direct engagement with the content of the retracted article, it falls into the ""Other"" category.",TRUE,Other
12935295,184456,TGFbeta1 signaling via alphaVbeta6 integrin,28869579,5615331,Exploring the Role of RGD-Recognizing Integrins in Cancer,"Upon TGF-β1 activation, the successive signaling events in turn lead to the additional expression of αvβ3 and αvβ6 and of ECM protein ligands, followed by the activation of the PI3K-, Akt, and NF-κB pathways. Moreover, growth factor receptors, such as the EGF-R, are upregulated upon TGF-β signaling; this is of note here, since the EGF-R physically and functionally crosstalks with integrins in a synergistic fashion [127,204,206,207,208,209,210,211,212].",+Lack of Approval from Author,{'Other'},,,Other,"The citation references multiple numbered sources [127,204,206,207,208,209,210,211,212] without explicitly indicating use of data, results, or methods from <RA>. The context discusses signaling pathways and receptor crosstalk generally, and there is no specific phrase indicating the citing paper is utilizing, building upon, or directly comparing findings, data, or methods from <RA>.",Other,"The provided text discusses signaling pathways and receptor interactions. While it cites multiple references ([127, 204-212]), there are no explicit phrases indicating the use of data, results, methods, or general consistency with a specific retracted article <RA>. The context is insufficient to determine the function of any potential citation to <RA>.",TRUE,Other
9822616,1171019,Viral pathogenicity determinants are suppressors of transgene silencing in Nicotiana benthamiana,14665679,309050,"RNA interference: biology, mechanism, and applications","These results support the view that a dsRNA intermediate in virus replication acts as an efficient initiator of PTGS in natural virus infections.
The clinching support for the notion that PTGS has evolved as an antiviral mechanism has come from reports that plant viruses encode proteins that are suppressors of PTGS (8, 25, 222). These suppressors have evolved to save the viral RNA genomes from the PTGS degradative machinery of host plants.",+Manipulation of Images,{'Other'},,,Other,"The provided sentences do not explicitly mention using data, results, or methods from <RA>, nor do they indicate that the citing paper is demonstrating consistency with <RA>. Instead, the citation appears to be providing background or supporting context about PTGS and viral suppressors, without directly referencing or building upon specific findings, data, or methodologies from <RA>.",Shows_Consistency,"The citing paper states that ""These results support the view..."" and discusses how ""plant viruses encode proteins that are suppressors of PTGS"". This indicates that the findings of the citing paper are in general agreement with and support the broader claims or framework presented in the retracted article, without explicitly using its data, results, or methods.",FALSE,Other
12438431,2193990,Cross-linking the B7 family molecule B7-DC directly activates immune functions of dendritic cells.,18173375,10637733,PD-1 and its ligands in tolerance and immunity,"PD-L1 and PD-L2 not only may influence responses by engaging PD-1 and modifying TCR or BCR signaling, but also may deliver signals into PD-L1- or PD-L2-expressing cells. The first indication that PD-L2 may transmit signals into DCs came from studies using a novel, naturally occurring human IgM antibody (sHIgM12), isolated from a patient with Waldenstrom’s macroglobulinemia, that binds both mouse and human PD-L2 (44). Although DCs treated with sHIgM12 do not upregulate MHC II or B7 costimulatory molecules, they produce greater amounts of proinflammatory cytokines, particularly TNF-α and IL-6, and stimulate naive T cell proliferation","+Results Not Reproducible
+Misconduct by Author
+Misconduct - Official Investigation/Finding
+Investigation by Company/Institution
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Other,"The provided citation context discusses PD-L1 and PD-L2 signaling and mentions a study involving a human IgM antibody, but it does not explicitly reference, analyze, or build upon specific data, results, or methods from the retracted article <RA>. There are no phrases indicating use of data, results, or methodology from <RA>, nor does it suggest the citing paper is aligning with or testing findings from <RA>. Therefore, the function does not fit the defined categories and is best classified as Other.",Uses_Results,"The citing paper describes ""studies using a novel, naturally occurring human IgM antibody (sHIgM12)... that binds both mouse and human PD-L2"". It then details the observed effects of this antibody on DCs, specifically that ""DCs treated with sHIgM12 do not upregulate MHC II or B7 costimulatory molecules, they produce greater amounts of proinflammatory cytokines, particularly TNF-α and IL-6, and stimulate naive T cell proliferation"". This directly reports the findings or results obtained from using the antibody described in the referenced work.",FALSE,Other
15084715,423212,Probing the MicroRNA and Small Interfering RNA Pathways with Virus-Encoded Suppressors of RNA Silencing,15372043,-,RNA silencing in plants,"In principle, the plant viral suppressor proteins could be used as a tool to investigate the mechanism of RNA silencing. However, in most instances, including the prototype HCPro suppressor from potyviruses, there are conflicting data about their mechanism of action73,74,75. Only for two suppressors — p21 encoded by beet western yellow virus73 and p19 encoded by the tomato bushy stunt virus (TBSV) group63,74 — is there a clear indication of how they act. In both cases, the virus suppressor protein binds to and, presumably, inactivates siRNAs so that they do not target the corresponding viral RNAs. For p19, the high resolution crystal structures for two different TBSV-group proteins, combined with molecular and biochemical data, indicate precisely how silencing is blocked. A tail-to-tail p19 homodimer forms α-helix brackets around the ends of the siRNA base-paired region76,77 and, consequently, an siRNA or miRNA is prevented from being incorporated into an active RISC63,74,78. In transgenic Arabidopsis expressing p19 (ref. 73), both miRNA and its complement (miRNA*) accumulate, whereas in the control plants without p19 the miRNA* is undetectable74. Presumably the miRNA–miRNA* duplex is normally a short-lived precursor of miRNA–RISC79, but is stabilized in the presence of p19.","+Manipulation of Images
+Investigation by Journal/Publisher
+Investigation by Company/Institution
+Duplication of Image",{'Other'},,,Other,"The citing paper discusses the mechanism of RNA silencing and references specific experimental findings related to viral suppressor proteins, including structural and biochemical data, as well as observations from transgenic plants. However, it does not explicitly state that it is using data, results, or methods from <RA>, nor does it claim its findings are directly based on or comparable to those in <RA>. Instead, it appears to synthesize or contextualize existing knowledge without directly re-analyzing or building upon the specific content of <RA>.",Uses_Results,"The citing paper discusses the mechanism of action of viral suppressor proteins, specifically mentioning that ""for p19, the high resolution crystal structures for two different TBSV-group proteins, combined with molecular and biochemical data, indicate precisely how silencing is blocked."" It then elaborates on how p19 functions, citing references [63, 74, 78]. This indicates the citing paper is using the findings and conclusions presented in the retracted article regarding the mechanism of p19.",FALSE,Other
15769183,1065267,Neutralizing Aptamers from Whole-Cell SELEX Inhibit the RET Receptor Tyrosine Kinase,27807347,5700751,"Aptamers as targeted therapeutics: current potential and
challenges","Although protein-based SELEX may be applied to purified proteins, protein targets on the surface of whole cells, or even proteins within live animals, it is not applicable for unknown proteins, insoluble proteins, or proteins that only function in the native conformation or a
multiprotein complex27. In some cases, the aptamers generated via purified protein-based SELEX fail to recognize the target protein on the cell surface28–30. Whole cell-based SELEX offers a reasonable alternative to overcome some of the limitations of purified protein-based SELEX","+Unreliable Image
+Copyright Claims
+Concerns/Issues About Image",{'Other'},,,Other,"The provided context does not explicitly mention using data, results, methods, or aligning findings from <RA>. Instead, it discusses general limitations and alternatives related to protein-based SELEX techniques, with no direct reference to <RA>'s content or function.",Uses_Methods,"The citing paper discusses the limitations of ""purified protein-based SELEX"" and then presents ""Whole cell-based SELEX"" as an alternative. This implies that the retracted article (cited as 27) likely describes the ""purified protein-based SELEX"" methodology, and the citing paper is discussing its applicability and limitations, suggesting a reference to the method itself.",FALSE,Other
15650183,544105,Hepatitis C Virus (HCV) Constitutively Activates STAT-3 via Oxidative Stress: Role of STAT-3 in HCV Replication,28039563,-,Implications of oxidative stress on viral pathogenesis,". Because these cells are very close to hepatocytes, some RS (for example, H2O2) are able to diffuse into hepatocytes and induce intracellular signaling [68]. In this context, these RS would amplify intracellular effects caused by the viral proteins themselves, although they could also activate intracellular antioxidant defences that could prevent or allow increases in oxidative stress [69].Generally, in parallel to the RS increase in HCV infection, there is a decrease in antioxidant defence, such as glutathione content, which contributes to the oxidation of important cellular components. These changes can lead to the development of cirrhosis and hepatocellular carcinoma [69–72]. Some clinical studies have shown that the addition of antioxidants can improve liver injury caused by oxidative stress and this could be a potential treatment for HCV infection [71, 72].","+Original Data not Provided
+Duplication of Image
+Concerns/Issues About Data","{'Data', 'Other'}",,,Other,"The citation references multiple studies (e.g., [69–72]) discussing oxidative stress, antioxidant defenses, and clinical implications, but there is no indication that the citing paper is directly using data, results, or methods from the retracted article <RA>. Instead, it appears to be citing <RA> as part of a broader literature context or background information, which does not fit the specific categories of data, results, methods, or general consistency.",Uses_Results,"The citing paper discusses how ""RS increase in HCV infection, there is a decrease in antioxidant defence, such as glutathione content"" and that ""These changes can lead to the development of cirrhosis and hepatocellular carcinoma."" This directly references findings and conclusions about the consequences of oxidative stress in HCV infection, which are likely reported in the retracted article. The mention of clinical studies showing antioxidants improving liver injury also points to the use of reported outcomes.",FALSE,Other
15632075,543426,DNA Methyltransferase 3b Regulates Nerve Growth Factor-Induced Differentiation of PC12 Cells by Recruiting Histone Deacetylase 2,16136652,-,DNA methylation and human disease,"The former idea is supported by recent findings that DNMT3B interacts with histone deacetylases (HDACs), histone methylases and chromatin-remodelling enzymes114,115. In addition, DNMT3B can profoundly influence neuronal differentiation of multipotent cells in a manner that depends on its ability to interact with HDACs, but not on its ability to methylate DNA116. Both methylation-related and unrelated defects might therefore be important in ICF syndrome.","+Misconduct - Official Investigation/Finding
+Investigation by Company/Institution
+Falsification/Fabrication of Data",{'Other'},,,Other,"The citation mentions specific references (114,115,116) to support statements about DNMT3B interactions and functions but does not explicitly indicate the use of data, results, or methods from <RA>, nor does it discuss the findings or framework of <RA>. The context appears to be general background information rather than a direct use or re-examination of <RA>.",Uses_Results,"The citing paper states that ""DNMT3B can profoundly influence neuronal differentiation of multipotent cells in a manner that depends on its ability to interact with HDACs, but not on its ability to methylate DNA"". This directly refers to the findings and conclusions reported in the retracted article regarding the function of DNMT3B.",FALSE,Other
7862147,230378,Inhibition of HMGI-C Protein Synthesis Suppresses Retrovirally Induced Neoplastic Transformation of Rat Thyroid Cells,18004397,-,Roles of HMGA proteins in cancer,"Several studies indicate that HMGA proteins have oncogenic activities, being causally involved in neoplastic transformation. When normal thyroid cells (FRTL5) were transfected with an antisense construct against HMGA2 and then infected with transforming myeloproliferative sarcoma virus or KiMSV, they expressed significant levels of the retroviral transforming oncogenes v-mos or v-ras-Ki, and ceased being dependent on thyroid-stimulating hormones18. However, in contrast with untransfected cells or cells transfected with the sense construct, those containing the antisense construct did not grow in soft agar or form tumours in athymic mice, even though they did not show any significant differences in the expression of the viral oncogenes in comparison with the untransfected cells. HMGA1 protein was also reduced by HMGA2 antisense, suggesting HMGA1 might also have a role in neoplastic transformation18. Therefore, to confirm the role of the HMGA1 gene in thyroid-cell transformation, the experiments were repeated with HMGA1 antisense, followed by infection with KiMSV.","+Objections by Third Party
+Objections by Author
+Manipulation of Images
+Investigation by Journal/Publisher
+Duplication of Image
+Concerns/Issues About Data","{'Other', 'Data'}",,,Other,"The citation discusses repeating experiments to confirm the role of HMGA1 in thyroid-cell transformation, but there is no explicit mention of using, building upon, or directly referencing specific data, results, or methods from <RA>. The context suggests a replication or validation effort rather than a direct use of data, results, or methodology from the retracted article.",Uses_Results,"The citing paper describes repeating experiments from the retracted article (""the experiments were repeated with HMGA1 antisense, followed by infection with KiMSV"") to confirm a role previously suggested by the retracted article's findings (""Therefore, to confirm the role of the HMGA1 gene in thyroid-cell transformation""). This indicates an attempt to build upon or verify the conclusions of the retracted work.",FALSE,Other
17535111,1877818,PER-TIM Interactions with the Photoreceptor Cryptochrome Mediate Circadian Temperature Responses in Drosophila,20148687,,The Mammalian Circadian Timing System: Organization and Coordination of Central and Peripheral Clocks,"Another remarkable aspect of peripheral clock robustness is temperature compensation, a property described several decades ago for many organisms (211, 212). In contrast to most chemical and biochemical processes, which are accelerated with increasing temperature, the period length of circadian oscillators remains nearly constant over a wide range of physiological temperatures (213, 214). This feature even applies to circadian oscillators operative in cells of homeotherm organisms, such as cultured mammalian fibroblasts.","+Results Not Reproducible
+Doing the Right Thing","{'Other', 'Results'}",,,Other,"The provided sentences do not explicitly mention data, results, methods, or claims from <RA>; instead, they discuss general concepts related to circadian clock properties and temperature compensation, which are broad scientific ideas. There is no indication that the citing paper is directly using, building upon, or referencing specific findings, data, or methodologies from <RA>.",Shows_Consistency,"The citing paper discusses ""temperature compensation"" as a ""remarkable aspect of peripheral clock robustness"" and states this property was ""described several decades ago for many organisms."" It then contrasts this with other processes and notes that circadian oscillators ""remain nearly constant over a wide range of physiological temperatures."" This aligns with the general framework and observations of prior work, suggesting consistency with the findings of the retracted article without explicitly using its data, results, or methods.",FALSE,Other
