CitedID,CitingID,Title,SharingAuthor,RetractionMentioned,CitationContext,CitationSection,Class,CitedAlone,Frequency,Journal/Book,Publication Year,Create Date,DOI,Retraction_Watch,Retraction_Watch_hierarchies,Retraction_Watch_citing,Retraction_Watch_citing_hierarchy,category_gpt,justification_gpt,reference_gpt,category_gemini,justification_gemini,reference_gemini,alignment
15934135,17250953,"1alpha,25(OH)2D3-induced DNA methylation suppresses the human CYP27B1 gene",Yes,No,"1: Expression of CYP27B1 is negatively regulated by Vitamin D[1,25(OH)2D3] (Murayama et al., 2004; Murayama et al., 1998; Takeyama et al., 1997). We recently reported that a bHLHtype activator, VDR-interacting repressor (VDIR), directly binds to the negative Vitamin D response element (1nVDRE) in the human CYP27B1 gene promoter, thus activating its transcription (Fig. 1) (Murayama et al., 2004). However, ligand-induced association between VDR and VDIR results in ligand-induced repression (transrepression) of the CYP27B1 gene expression. This transrepression is associated with VDIR switching from a co-activator complex containing histone acetyltransferase (HAT) to a co-repressor complex containing histone deacetylase (HDAC) (Murayama et al., 2004). 2:Transrepression at the CYP27B1 promoter was monitored in transfection assays using a luciferase reporter plasmid under the control of a human CYP27B1 gene promoter segment (âˆ¼700 bp upstream region of the transcription start site) containing two consensus 1nVDRE sequences recognized by VDIR. Using gene-specific RNAi, we found that endogenous VDR, VDIR and WSTF are involved in the ligand-induced suppression of the CYP27B1 gene promoter (Fig. 2A) that is consistent with previously shown physical association of these three factors (Kitagawa et al., 2003; Murayama et al., 2004). 3:To test whether WSTF was recruited to VDIR via liganded VDR in the nuclei of living cells, we performed a ChIP assay on the endogenous CYP27B1 gene promoter. In agreement with previous reports (Kitagawa et al., 2003; Murayama et al., 2004), VDIR was constitutively bound to the 1nVDRE (Fig. 2B). As WSTF RNAi remarkably attenuated the promoter occupancy by VDR in the absence of ligand, WSTF appeared to facilitate the binding of unliganded VDR at the 1nVDRE (Fig. 2B). 4:Histone deacetylation by recruited HDACs to VDR/VDIR at the 1nVDRE is a critical step for remodeling chromatin structure at the CYP27B1 gene promoter in VDR-mediated transrepression (Murayama et al., 2004). However, TSA (a HDAC inhibitor) could not fully abrogate 1,25 (OH)2D3-induced transrepression (Fig. 4A), suggesting that an additional mechanism may contribute to this transcriptional repression. 5:We have shown that the CYP27B1 gene nVDRE is composed of two E-box like motifs (Murayama et al., 2004). This E-box like motif(s), serving as a VDIR binding site, also appears to confer a negative response to 1,25(OH)2D3 at other VDR target gene promoters (Kim et al., in press). 6:It has been suggested that ligand-unbound VDR/RXR on the VDRE mainly associates with a HDAC complex to repress target genes (Murayama et al., 2004). According to this model of a positive VDRE, ligand binding leads to co-repressor dissociation from VDR. In contrast, the WINAC assists recruitment of HDAC co-repressor complex in VDIR-mediated transrepression on a negative VDRE (Fujiki et al., 2005).",Others,Dependent,Yes,>1,Mol Cell Endocrinol,2007,1/26/2007,10.1016/j.mce.2006.12.014,+Investigation by Journal/Publisher +Investigation by Company/Institution +Duplication of/in Image +Concerns/Issues About Data,"Data, Peer_Review_and_Publishing_Process","+Manipulation of Images
",{'Other'},,,,Uses_Results,"The citing paper explicitly states that the retracted paper characterized the negative vitamin D response element (1 nVDRE) and its binding protein, a bHLH transcription factor, and that this factor activates transcription but is suppressed by ligand-activated VDR through recruitment of histone deacetylase. This directly builds upon and treats the findings of the retracted paper as established fact. The citing paper then extends these findings by demonstrating that DNA methylation is also required for this transrepression.","Evidence from Citing Paper: ""We have characterized the negative vitamin D response element and its binding protein, a bHLH transcription factor. This factor directly binds to the 1 nVDRE and activates transcription, but its transcriptional activity is suppressed by the ligand-activated Vitamin D receptor through recruitment of histone deacetylase.""
Evidence from Cited Paper: ""Thus, the present study deciphers a novel mechanism of ligand-induced transrepression by nuclear receptor via co-regulator switching.""
""Thus, our present findings decipher a novel molecular mechanism of ligand-induced transrepression by a NR.""",FALSE
17804744,23372748,"3, 3'-Diindolylmethane enhances the effectiveness of herceptin against HER-2/neu-expressing breast cancer cells",No,No,"Total RNA from DIM and Herceptin-treated cells was isolated by TRIzol (Invitrogen) according to the manufacturerâ€™s protocol and subjected to analyses by RT-PCR, as described earlier [36]*.",M&M,Dependent,Yes,1,PLoS One,2013,2/2/2013,10.1371/journal.pone.0054657,+Misconduct by Author +Misconduct - Official Investigation and/or Finding +Investigation by Company/Institution +Falsification/Fabrication of Image +Falsification/Fabrication of Data +Duplication of/in Image,"Authorship, Images",,,Uses_Methods,"The citing paper explicitly references the methods used in the retracted paper, such as transfection with siRNA and miRNA, and discusses how these methods were employed to study the effects of DIM and Herceptin on breast cancer cells. The citing paper states that it transfected cells with pre-miR-200 or siRNA targeting FoxM1, directly adopting techniques described in the retracted paper. This indicates reliance on the specific experimental procedures from the retracted study rather than just citing its results or data.","Citing Paper: ""We transfected cells with pre-miR-200 or silenced FoxM1 in these cells for understanding the molecular mechanism involved.""  
Cited Paper: ""Cells were transfected with FoxM1 siRNA and cDNA, respectively, using LipofectAMINE 2000 as described earlier (16).""",Uses_Methods,"The citing paper explicitly states that it used FoxM1 siRNA for transfection, a method detailed in the retracted paper. The citing paper also references the retracted paper for the protocol of FoxM1 siRNA transfection. This indicates a direct adoption and replication of the methodology.","Evidence from Citing Paper: ""FoxM1 siRNA Transfection To determine the effect of FoxM1 siRNA transfection, cells were plated in 100 mm petri dishes overnight and transfected with 100 nmol/l of FoxM1 siRNA or the control siRNA for 48 h by Lipofectamine 2000 following the manufacturerâ€™s protocol.""
Evidence from Cited Paper: ""FoxM1 siRNA and siRNA control were obtained from Santa Cruz Biotechnology. The FoxM1 cDNA plasmid was purchased from OriGene Technologies Inc. Human PC cells were transfected with FoxM1 siRNA and cDNA, respectively, using LipofectAMINE 2000 as described earlier (16).""",TRUE
16252006,19099580,A genome-wide screen for modifiers of transgene variegation identifies genes with critical roles in development,No,No,"These data suggest that MommeD5 and MommeD10 mutants alter the expression of the transgene by changing the chromatin state rather than by altering DNA methylation levels. This is consistent with the fact that both genes encode proteins involved in histone modification and chromatin remodeling [21,23-25,30-33]*. Modifiers identified in this screen include DNA methyltransferases, chromatin remodelers and genes involved in histone modification, all of which have wide-ranging effects in the genome, making it difficult to unravel direct and indirect effects at any particular locus.",Other,Dependent,No,1,Genome Biol,2008,12/23/2008,10.1186/gb-2008-9-12-r182,+Investigation by Company/Institution +Error in Image +Concerns/Issues About Image,Images,,,,,,,,,TRUE
11931763,26952988,Activation of a T-box-Otx2-Gsc gene network independent of TBP and TBP-related factors,No,No,"For knockdown of gcn5 (kat2a) mRNA, a DMED-modified oligonucleotide Gcn5-AS[BJ220], antisense to position 220-237 of the BJ072879 EST, was designed: 5â€²-T+C+A+A+A+CACAAGC+C+G+G+G+T+T-3â€² (+ denotes DMED-modified linkages). 0.8 ng of Gcn5-AS[BJ220] was used for knockdown. In rescue experiments, mRNA transcribed from pcDNA3.1-Myc-His-hGCN5 was used (Yanagisawa et al., 2002)*. To express catalytically dead Î”HAT Gcn5, pcDNA3.1-Flag-hGCN5-Î”HAT construct was used with E575A and D615A point mutations (Orpinell et al.,2010). ",Material and Method,Dependent,Yes,1,Development,2016,3/9/2016,10.1242/dev.127936,+Misconduct by Author +Manipulation of Images,"Authorship, Images",,,Uses_Data,"The citing paper explicitly discusses the recruitment of Gcn5 to gene promoters and its role in transcription initiation, referencing the specific Gcn5 protein and its binding to promoters. It also reports experimental results showing Gcn5 binding to endogenous gene promoters and the effects of Gcn5 knockdown, indicating direct use of the data generated in the retracted paper. This demonstrates reliance on the specific data about Gcn5's promoter association and functional role, rather than just results or methods.","Citing Paper: ""Gcn5 binding at different regions around the transcription start site (TSS) of bmp4, gsc and fgf8 genes in X. tropicalis. ChIP was performed using two different polyclonal anti-GCN5 antibodies.""  
Cited Paper: ""Histone acetyltransferase (HAT) activity in purified fractions. The indicated fractions were incubated with either free histones (closed bars) or BSA (open bars), together with 3H-labeled acetyl-CoA, and assayed for acetyltransferase activity (HAT) in a filter binding assay (Rachez et al., 1998). HAT activity is quantitated as radioactivity (cpm) of 3H-labeled acetyled histones.""",Uses_Methods,"The citing paper describes a TBP family-insensitive mechanism of transcription initiation and mentions a human TAF-containing TBP-free complex (TFTC) that supports transcription initiation in vitro. This TFTC complex is described as being similar to the yeast SAGA complex and having a conserved subunit composition, which aligns with the description of TFTC-type HAT complexes in the retracted paper. The citing paper's discussion of TFTC and its properties directly reflects the methodology and findings presented in the retracted paper regarding these complexes.","[Evidence from Citing Paper: ""Moreover, a human TAF-containing TBP-free complex (TFTC) has been reported to support transcription initiation in vitro (Wieczorek et al., 1998). TFTC is similar to the yeast Spt-Ada-Gcn5-acetyltransferase complex (SAGA) and has a conserved subunit composition across species (Spedale et al., 2012; Wang and Dent, 2014; Wieczorek et al., 1998).""] 
 [Evidence from Cited Paper: ""Similarly to known TFTC (TBP-free TAFII-containing)-type HAT complexes (hTFTC, hPCAF, and hSTAGA), TRRP directly interacted with liganded ER , or other NRs. ER transactivation was enhanced by the purified complex in vitro. Antisense TRRAP RNA inhibited estrogen-dependent cell growth of breast cancer cells. Thus, the isolated TFTC-type HAT complex acts as a third class of coactivator complex for NR function.""]",FALSE
16621886,21151953,Activation of protein serine/threonine phosphatase PP2CÎ± efficiently prevents liver fibrosis,No,No,1: Cell viability was evaluated using MTT (Sigma) assay as previously described [44]*. 2:Cell cycle was analyzed as previously described [44]*. The samples were assayed with a FACS Calibur instrument and the data were analyzed with CellQuest 3.1 Software.,M&M,Dependent,Yes,>1,PLoS One,2010,12/15/2010,10.1371/journal.pone.0014230,+Original Data and/or Images not Provided and/or not Available +Manipulation of Images +Investigation by Company/Institution +Duplication of/in Image,Images,,,,,,Parsing Failed,"Answer 1: Uses_Methods
Answer 2: The citing paper explicitly states that it used the MTT assay and cell cycle analysis methods as previously described in the retracted paper. This indicates a direct adoption and replication of the methodologies employed by the retracted authors. The specific details of these methods were taken from the retracted publication for use in the current study.
Answer 3:
Evidence from Citing Paper: ""The effects of PP2Ca activation on liver fibrosis were investigated in human HSCs and primary rat HSCs in vitro using western blotting, real-time PCR, nuclear translocation, cell viability and cell cycle analyses.""
""Cell viability assay Cell viability was evaluated using MTT (Sigma) assay as previously described [44].""
""Cell cycle analysis Cell cycle was analyzed as previously described [44].""
Evidence from Cited Paper: ""The effect of berberine on the cell viability/proliferation was determined using MTT assay, as described previously (17).""
""DNA cell cycle analysis Sub-conï¬‚uent A431 cells (50â€“60%) were treated with varying concentrations of berberine in complete medium for 48 h. The cells were then harvested, washed with cold phosphate-buffered saline (PBS), and processed for cell cycle analysis.""
""Apoptotic cell death assay by FACS Induction of apoptosis in A431 cells caused by berberine was quantitatively determined by ï¬‚ow cytometry using the Annexin V-conjugated Alexaï¬‚uor 488 (Alexa488) Apoptosis Detection Kit following the manufacturerâ€™s instructions and as previously described (17).""",,FALSE
15934135,28074906,Antiproliferative Effects of 1Î±-OH-vitD(3) in Malignant Melanoma: Potential Therapeutic implications,No,No,"Interestingly this scenario has been observed also in different cell systems26â€“30. It is noteworthy that the promoter regions of specific cell cycle regulatory genes posses VDREs, which modulate gene transcription in response to vitamin-D/VDR binding10,32*. This mechanism, which demonstrates a direct functional role of vitamin D in regulating the cell cycle, corroborates our findings.",Discussion,Dependent,Yes,1,Sci Rep,2017,1/12/2017,10.1038/srep40370,+Investigation by Journal/Publisher +Investigation by Company/Institution +Duplication of/in Image +Concerns/Issues About Data,"Data, Peer_Review_and_Publishing_Process",,,,,,Other,"The citing paper mentions the retracted paper in its reference list, specifically citing it as Murayama et al. (2004) in the context of discussing the complexity of 1Î±-hydroxylase gene expression regulation. However, it does not directly use the data, results, or methods described in the retracted paper. The citing paper focuses on the antiproliferative effects of vitamin D in melanoma, a topic distinct from the molecular mechanism of transrepression detailed in the retracted work.","Evidence from Citing Paper: ""Vitamin D active metabolites regulate important biological processes via genomic and non-genomic effects. Non genomic effects are in part mediated by the increase of free cytosolic calcium levels, whereas genomic effects require the binding to VDR, the predominant nuclear receptor protein expressed on target cells and tissues. VDR binds vitamin-D ligand with high affinity, resulting in heterodimerization with retinoid X receptor (RXR) and in zinc-finger-mediated binding to vitamin D responsive elements (VDREs), which modulate transcription of the target genes26â€“30.""
Evidence from Cited Paper: ""Vitamin D receptor (VDR) is essential for ligand-induced gene repression of 25(OH)D3 1a-hydroxylase (1a(OH)ase) in mammalian kidney, while this gene expression is activated by protein kinase A (PKA) signaling down-stream of the parathyroid hormone action. The mapped negative vitamin D response element (1anVDRE) in the human 1a(OH)ase gene promoter (around 530 bp) was distinct from those of the reported DR3-like nVDREs, composed of two E-box-like motifs. Unlike the reported nVDREs, no direct binding of VDR/RXR heterodimer to 1anVDRE was detected.""",FALSE
20974686,25954974,Berberine Inhibits Invasion and Metastasis of Colorectal Cancer Cells via COX-2/PGE2 Mediated JAK2/STAT3 Signaling Pathway,No,No,"Epidemiological evidence has suggested that long-term, routine taking of COX-2 inhibitor such as NSAIDs (Nonsteroidal anti-inflammatory drugs) could decrease 50% of CRC incidence [28â€“29]. Our results revealed that berberin inhibited the expression levels of COX-2 and PGE2 in CRC cells, in accordance with the data Singh et al found in the melanoma cells treated with berberin [30]*. Thus, will berberin be as effective as the NSAIDs to reduce CRC incidence? This will be a very interesting topic for the future studies, especially on the mechanism by which berberin works in CRC cells.",Discussion,Dependent,Yes,1,PLoS One,2015,5/9/2015,10.1371/journal.pone.0123478,+Original Data and/or Images not Provided and/or not Available +Manipulation of Images +Investigation by Company/Institution +Falsification/Fabrication of Data +Duplication of/in Image,Images,,,,,,Parsing Failed,"Answer 1: Uses_Results
Answer 2: The citing paper explicitly references the findings of the retracted paper regarding berberine's effect on melanoma cell migration and its association with COX-2 and PGE2. It uses these findings as a basis to investigate similar mechanisms in colorectal cancer. The citing paper directly states that the retracted paper's data supports their hypothesis.
Answer 3:
[Evidence from Citing Paper: ""Our results revealed that berberin inhibited the expression levels of COX-2 and PGE2 in CRC cells, in accordance with the data Singh et al found in the melanoma cells treated with berberin [30]. Thus, will berberin be as effective as the NSAIDs to reduce CRC incidence?""]
[Evidence from Cited Paper: ""Together, these results indicate for the ï¬�rst time that berberine inhibits melanoma cell migration, an essential step in invasion and metastasis, by inhibition of COX-2, PGE2 and PGE2 receptors.""]",,FALSE
16621886,23050025,Bioactive phytochemical proanthocyanidins inhibit growth of head and neck squamous cell carcinoma cells by targeting multiple signaling molecules,Yes,No,"1:The effect of GSPs on the viability of HNSCC cells or normal human bronchial epithelial cells was determined using MTT assay as described previously [26]*. Briefly, 16104 cells per well in a 96-well plate were treated with varying concentrations of GSPs or erlotinib for 24 and 48 h. 2:GSPs-induced cytotoxicity also was determined using a trypan blue dye exclusion cell death assay, as described previously [26]*. Briefly, 56104 cells were treated with or without GSPs (0, 10, 20, 40 and 60 mg/mL) for 24 and 48 h. 3:For cell cycle distribution analysis, SCC1 and OSC19 cells were treated with different concentrations of GSPs (0, 20, 40 and 60 mg/mL) in complete medium for 48 h. The cells were then harvested, and processed for cell cycle analysis, as detailed previously [26]*. Briefly, the 16105 cells were re-suspended in 50 mL cold PBS to which 450 mL cold methanol was added and the cells were then incubated for 1 h at 4uC. 4:GSPs-induced apoptotic cell death of HNSCC cells was quantitatively determined by flow cytometry using the Annexin V-conjugated Alexa fluor488 Apoptosis Detection Kit following the manufacturerâ€™s protocol, as previously described [26]*. Briefly, after treatment of cells with GSPs for 48 h, cells were harvested, washed with PBS buffer and incubated with Annexin V Alexa fluor488 (Alexa488) and propidium iodide for 10 min in the dark. 5:Following treatment of HNSCC cells with or without various concentrations of GSPs or erlotinib the cells were harvested, washed with cold PBS buffer, and lysed with ice-cold lysis buffer supplemented with cocktail of protease inhibitors as detailed previously [26]*. For western blot analysis, proteins were resolved on 8â€“10% Tris-glycine gels and transferred onto a nitrocellulose membrane. 7:For the binding assays of Cdks and Cdki (Cip1/p21, Kip1/p27), cells were treated with vehicle or GSPs (60 mg/mL) for 48 h, washed with ice-cold PBS buffer, and whole cell lysates prepared, as described previously [26,27]*. Aliquots containing 200 mg of protein were cleared with protein A/G-plus agarose beads (Santa Cruz, CA).",M&M,Dependent,Yes,>1,PLoS One,2012,10/11/2012,10.1371/journal.pone.0046404,+Original Data and/or Images not Provided and/or not Available +Manipulation of Images +Investigation by Company/Institution +Duplication of/in Image,Images,,,,,,Uses_Methods,"The citing paper describes using the MTT assay and trypan blue dye exclusion assay for cell viability and cytotoxicity, respectively. These methods are explicitly stated to have been performed ""as described previously [26]"", where reference [26] points to the retracted paper. The retracted paper details these exact methodologies in its ""Materials and methods"" section.","Evidence from Citing Paper: ""The effect of GSPs on the viability of HNSCC cells or normal human bronchial epithelial cells was determined using MTT assay as described previously [26]. Briefly, 16104 cells per well in a 96-well plate were treated with varying concentrations of GSPs or erlotinib for 24 and 48 h. ... GSPs-induced cytotoxicity also was determined using a trypan blue dye exclusion cell death assay, as described previously [26].""
Evidence from Cited Paper: ""MTT assay for cell viability/proliferation The effect of berberine on the cell viability/proliferation was determined using MTT assay, as described previously (17). Brieï¬‚y, 1 104 cells/well were plated in 96-well culture plates. ... Cell death assay The trypan blue dye exclusion assay was used to determine the cytotoxic effect of berberine on the cells. Brieï¬‚y, 5 104 cells were cultured into each well of a 6-well culture plates.""",FALSE
16621886,26676402,Bioactive proanthocyanidins inhibit growth and induce apoptosis in human melanoma cells by decreasing the accumulation of Î²-catenin,Yes,No,"1:The effect of GSPs on the viability of human melanoma cells was determined using MTT assay as previously described (20)*. The effect of GSPs on cell viability was calculated and presented in terms of percent of control, which was arbitrarily assigned a value of 100% viability. 2:GSPs induced apoptotic cell death in melanoma cells was quantitatively determined by flow cytometry using the Annexin V-conjugated Alexa Fluor 488 (Alexa 488) apoptosis detection kit following the manufacturer's protocol, as was previously used and described (20)*. Briefly, after treatment of cells with GSPs (0, 20, 40 and 60 Âµg/ml) for 48 h, cells were harvested, washed with PBS and stained with Alexa 488 and propidium iodide. The cells were then analyzed by fluorescence activated cell sorting using the FACSCalibur instrument (BD Biosciences, San Jose, CA, USA) and CellQuest 3.3 software, as previously described (20)*. 3:Following treatment of melanoma cells with or without GSPs the cells were harvested, cell lysates were prepared using ice-cold lysis buffer supplemented with protease inhibitors, as previously detailed (20)*. In case of tumor xenografts, tumor lysates were also prepared following the same procedure after homogenizing the tumor samples in lysis buffer. Western blot analysis was conducted as previously detailed (11,20)*. The membrane was stripped and re-probed with anti-Î²-actin antibody to verify equal protein loading on the gel. 4:",M&M,Dependent,Yes,>1,Int J Oncol,2016,12/18/2015,10.3892/ijo.2015.3286,+Original Data and/or Images not Provided and/or not Available +Manipulation of Images +Investigation by Company/Institution +Duplication of/in Image,Images,,,,,,Uses_Methods,"The citing paper explicitly references the methodology used in the retracted paper for assessing apoptosis via flow cytometry. This includes the specific kit used (Annexin V-conjugated Alexa Fluor 488) and the general procedure of analyzing cells by FACS. The citing paper states it used the same method ""as was previously used and described (20)"", where reference 20 points to the retracted paper.","Evidence from Citing Paper: ""Apoptotic cell death analysis by flow cytometry. GSPs induced apoptotic cell death in melanoma cells was quantitatively determined by flow cytometry using the Annexin V-conjugated Alexa fluor 488 (Alexa 488) apoptosis detection kit following the manufacturer's protocol, as was previously used and described (20).""
Evidence from Cited Paper: ""Apoptotic cell death assay by FACS. Induction of apoptosis in A431 cells caused by berberine was quantitatively determined by flow cytometry using the Annexin V-conjugated Alexafluor 488 (Alexa488) Apoptosis Detection Kit following the manufacturerâ€™s instructions and as previously described (17).""",FALSE
24255131,27533464,Comprehensive N-glycan profiles of hepatocellular carcinoma reveal association of fucosylation with tumor progression and regulation of FUT8 by microRNAs,Yes,No,"In an effort to identify the altered patterns, we applied MALDI-TOF-MS to profile total N-glycans in HCC tissues and adjacent tissues, and found dramatic differences in N-glycans between these two groups. This result corresponded with our findings of differential N-glycan composition in human HCC cell lines MHCC97H and MHCC97L with different metastatic potential by MS analysis [28]*. Furthermore, MALDITOF-MS analysis of N-glycan profiles demonstrated increased fucosylated N-glycan in HCC tissues. Other researchers have also observed increased levels of core and outer-arm fucose residues in the serum of patients with HCC [29] and HCC tissues [30].",Discussion,Dependent,Yes,1,Oncotarget,2016,8/18/2016,10.18632/oncotarget.11284,+Manipulation of Images +Error in Image,Images,,,Uses_Data,"The citing paper explicitly discusses the ""comprehensive N-glycan profiles"" and ""fucosylated N-glycans"" identified in the retracted study, indicating it relies on the specific glycan data and analysis methods from that paper. It also references the same mass spectrometry techniques and the detailed N-glycan profiles, suggesting dependence on the original data. The focus on the same molecular features and the use of similar analytical approaches imply direct utilization of the original datasets.","Citing Paper: ""Mass spectrometry (MS) analysis showed pronounced differences of the N-glycosylation patterns and fucosylated N-glycans between the adjacent and tumor tissues of 27 HCC patients.""  
Cited Paper: ""Mass spectrometry (MS) analysis showed pronounced differences of the N-glycosylation patterns and fucosylated N-glycans between the adjacent and tumor tissues.""",Uses_Methods,"The citing paper explicitly references the methodology used in the retracted paper for N-glycan analysis. Specifically, it mentions using MALDI-TOF-MS analysis for N-glycan profiling, a technique detailed in the retracted paper. The citing paper also cites the retracted paper directly when discussing the use of MHCC97H and MHCC97L cell lines for MS analysis.","Evidence from Citing Paper: ""Here, we obtained the comprehensive N-glycan profiles and fucosylated N-glycan alteration of adjacent and tumor tissues from HCC patients using MALDI-TOF-MS analysis."" and ""In addition, the expression profiles of FUT gene family were examined in two HCC cell lines. The FUT gene expression levels of the MHCC97H cells with high metastatic potential differed from cell lines MHCC97L with low metastatic potential.""
Evidence from Cited Paper: ""Using mass spectrometry analysis, we found that the composition profiling of sialylated N-glycans differed between MHCC97H and MHCC97L cells with different metastatic potential."" and ""MS Analysis of Permethylated Glycansâ€”Mass spectra were acquired using an Ultraflextreme MALDI-TOF/TOF (Bruker Daltonics, Bremen, Germany).""",FALSE
