pmid,pmcid,Title,pmid_citing,pmcid_citing,title_citing,citation,Retraction_Watch,Retraction_Watch_hierarchy,Retraction_Watch_citing,Retraction_Watch_citing_hierarchy,category_gpt,justification_gpt,reference_gpt,category_gemini,justification_gemini,reference_gemini,alignment
19172190,2628740,Naloxone's Pentapeptide Binding Site on Filamin A Blocks Mu Opioid Receptor–Gs Coupling and CREB Activation of Acute Morphine,30248938,6313374,Low-Dose Naltrexone (LDN)—Review of Therapeutic Utilization,"The opioid receptor Gs-coupled response cascade has been associated with prolongation of action potential, hyperalgesia, tolerance, and dependence. A crucial element mediating μ-opioid receptor second messaging is the scaffolding protein filament called filamin-A (FLNA) [36,37]. Filamin-A contains a high-affinity binding site for naloxone and naltrexone (3.94 pM).","+Manipulation of Images
+Duplication of Image
+Concerns/Issues About Image
+Concerns/Issues About Data","{'Other', 'Data'}",,,Uses_Results,"The citing paper explicitly discusses the main findings of the retracted paper, such as the MOR–Gs coupling switch and CREB activation, and references these as established effects. It builds upon these results by examining how interventions like NLX, NTX, and the VAKGL peptide prevent these specific outcomes, indicating reliance on the original findings. The focus on the same key results—morphine-induced G protein coupling and CREB phosphorylation—demonstrates that the citing paper uses the core data and conclusions from the retracted article.","Citing Paper: ""Acute 100 mM morphine significantly increased cAMP levels at 5 and 15 min (Fig. 4A). This acute morphine effect was blocked by co-treatment with 100 pM NLX or NTX (Fig. 4A). Similarly, VAKGL but not the control peptide VAAGL at 10 mM concentration also completely prevented this acute morphine-induced cAMP elevation (Fig. 4A).""  
Cited Paper: ""In organotypic striatal slice cultures, we now show that acute morphine induces a dose-dependent Go-to-Gs coupling switch at 5 and 15 min that resolves by 1 hr.""",Uses_Methods,"The citing paper explicitly describes and utilizes the organotypic striatal slice culture methods that were established and detailed in the retracted paper. It directly references the methodology for preparing and maintaining these cultures, indicating a direct adoption of the techniques. The citing paper's experimental design is built upon these established methods.","Citing Paper: ""Rat brain slice organotypic culture methods were modified from those published previously [13,14].""
Cited Paper: ""Rat brain slice organotypic culture methods were modified from those published previously [13,14]. Striatal slices (200 mm thick) were prepared using a McIlwain tissue chopper (The Mickle Laboratory Engineering Co., Surrey, UK) at 4uC. Slices were immediately transferred to sterile, porous culture inserts (0.4 mm, Millicell-CM), using the rear end of a glass Pasteur pipette.""",FALSE
12935295,184456,TGFbeta1 signaling via alphaVbeta6 integrin,28869579,5615331,Exploring the Role of RGD-Recognizing Integrins in Cancer,"Upon TGF-β1 activation, the successive signaling events in turn lead to the additional expression of αvβ3 and αvβ6 and of ECM protein ligands, followed by the activation of the PI3K-, Akt, and NF-κB pathways. Moreover, growth factor receptors, such as the EGF-R, are upregulated upon TGF-β signaling; this is of note here, since the EGF-R physically and functionally crosstalks with integrins in a synergistic fashion [127,204,206,207,208,209,210,211,212].",+Lack of Approval from Author,{'Other'},,,Other,"The citing paper mentions the original work as background and references the same authors and title, but does not explicitly use the data, results, or methods from the retracted paper. It does not build upon or treat the findings as established facts, nor does it adopt the methods directly. Instead, it appears to cite the retracted paper as part of general background or context, without reliance on its specific scientific content.","Citing Paper: ""Martin P Kracklauer1, Christian Schmidt*2 and Guido M Sclabas2,3"" and the same title are repeated, indicating citation of the original work as background. Cited Paper: ""Here we report that mature TGFβ1 is a ligand for the integrin αVβ6, independent of the common integrin binding sequence motif RGD."" This is a core result of the retracted paper, but the citing text does not describe using this data or building upon it; it only references the work as part of the background.",Uses_Methods,"The citing paper describes a methodology involving the stimulation of cells with TGFβ1 and the subsequent analysis of cytoskeletally anchored proteins, including immunoprecipitation and Western blotting. This methodology is explicitly stated to be based on prior work, referencing the methods used in the cited paper. The citing paper directly adopts and credits the experimental approach detailed in the retracted publication.","Evidence from Citing Paper: ""For indirect immunofluorescence, 104 cells were cultured on glass coverslips, stimulated with 10 nM mature TGFβ1 for 10 minutes, stained as described [66,67] and viewed using a Zeiss LSM-510 confocal microscope.""
Evidence from Cited Paper: ""Indirect immunofluorescence For indirect immunofluorescence, 104 cells were cultured on glass coverslips, stimulated with 10 nM mature TGFβ1 for 10 minutes, stained as described [66,67] and viewed using a Zeiss LSM-510 confocal microscope.""",FALSE
9822616,1171019,Viral pathogenicity determinants are suppressors of transgene silencing in Nicotiana benthamiana,14665679,309050,"RNA interference: biology, mechanism, and applications","These results support the view that a dsRNA intermediate in virus replication acts as an efficient initiator of PTGS in natural virus infections.
The clinching support for the notion that PTGS has evolved as an antiviral mechanism has come from reports that plant viruses encode proteins that are suppressors of PTGS (8, 25, 222). These suppressors have evolved to save the viral RNA genomes from the PTGS degradative machinery of host plants.",+Manipulation of Images,{'Other'},,,Uses_Results,"The citing paper discusses the mechanisms and components of RNA interference, referencing the detailed findings of the retracted paper about viral suppressors of PTGS, specifically the roles of HCPro and 2b proteins. It explicitly builds upon the results that these viral proteins act as suppressors of gene silencing, which were originally demonstrated in the retracted study. The citing paper treats these findings as established facts to support broader conclusions about RNAi mechanisms and viral interactions.","Citing Paper: ""The effects of PVY, CMV or the PVX vectors would interfere with PTGS. The outcome of these experiments was consistent with this prediction and reveals that HCPro and the 2b protein suppress different stages of PTGS.""  
Cited Paper: ""TXYHC of PVY is a direct suppressor of gene silencing and host defense in infected plants.""",Uses_Methods,"The citing paper discusses the broader field of RNA silencing and mentions specific experimental findings related to virus-induced gene silencing in plants. It references the retracted paper as a key source for understanding how viruses can suppress PTGS, specifically highlighting the use of PVX vectors to express viral proteins and observe their effects on GFP silencing. This indicates the citing paper is describing or building upon the experimental methodology established in the retracted paper.","Evidence from Citing Paper: ""Insights from Virus-Infected Plants (Virus-Induced Gene Silencing) ... Viruses can be either the source, the target, or both the source and the target of silencing. PTGS mediated by viruses can occur with RNA viruses, which replicate in the cytoplasm, and also with DNA viruses, which replicate in the nucleus (71). As early as in the 1920s, it was known that plants could be protected from a severe virus by prior infection with a mild strain of a closely related virus. Although the mechanism of such cross protection in plants remained unknown for a long time, such phenomena could be explained partly in terms of PTGS that could be induced by the mild strain and targeted later against the virulent viral genome. It was also found that transforming plants with virus-derived transgenes gave protection against the challenge viruses even when no transgene protein was produced (132).""
Evidence from Cited Paper: ""Here, we test the hypothesis that the P1-HCPro and 2b proteins are suppressors of PTGS. Plants exhibiting PTGS of a green ﬂuorescent protein (GFP) transgene were infected with a potyvirus (potato virus Y, PVY) or with CMV. We also infected silenced plants with potato virus X (PVX) and with chimeric constructs carrying coding sequences from PVY and CMV in a PVX vector. If PVY or CMV produce suppressors of a PTGS-like resistance mechanism we predicted that infection by PVY, CMV or the PVX vectors would interfere with PTGS. The outcome of these experiments was consistent with this prediction and reveals that HCPro and the 2b protein suppress different stages of PTGS.""",FALSE
12438431,2193990,Cross-linking the B7 family molecule B7-DC directly activates immune functions of dendritic cells.,18173375,10637733,PD-1 and its ligands in tolerance and immunity,"PD-L1 and PD-L2 not only may influence responses by engaging PD-1 and modifying TCR or BCR signaling, but also may deliver signals into PD-L1- or PD-L2-expressing cells. The first indication that PD-L2 may transmit signals into DCs came from studies using a novel, naturally occurring human IgM antibody (sHIgM12), isolated from a patient with Waldenstrom’s macroglobulinemia, that binds both mouse and human PD-L2 (44). Although DCs treated with sHIgM12 do not upregulate MHC II or B7 costimulatory molecules, they produce greater amounts of proinflammatory cytokines, particularly TNF-α and IL-6, and stimulate naive T cell proliferation","+Results Not Reproducible
+Misconduct by Author
+Misconduct - Official Investigation/Finding
+Investigation by Company/Institution
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Uses_Methods,"The citing paper discusses how cross-linking B7-DC on dendritic cells (DCs) directly enhances their antigen presentation, cytokine secretion, and survival, which are specific functional aspects detailed in the retracted paper. The retracted paper describes methods such as treating DCs with an antibody (sHIgM12) to modulate their activity, which the citing paper explicitly references. This indicates that the citing work adopts and builds upon the specific experimental protocols and techniques used in the retracted study to investigate DC functions.","Citing Paper: ""Cross-linking B7-DC on DCs increased antigen presentation and IL-12p70 production in vitro.""  
Cited Paper: ""The effect of B7-DC crosslinking on DC presentation of antigen was tested after incubation with ovalbumin. DCs were treated in vitro with sHIgM12 or pHIgM control antibody.""",Uses_Results,"The citing paper discusses the role of PD-L2 (B7-DC) as a ligand for PD-1 and mentions that cross-linking PD-L2 can induce reverse signaling into dendritic cells, leading to the production of pro-inflammatory cytokines and stimulation of naive T cell proliferation. This directly references the findings presented in the retracted paper, which investigated the effects of cross-linking B7-DC on dendritic cell function. The citing paper uses these specific findings to support its discussion on the bidirectional signaling of PD-L2.","Evidence from Citing Paper: ""PD-L2 is a type I transmembrane protein encoded by the Pdcd1lg2 gene adjacent to Cd274 and separated by only 23 kb of intervening genomic DNA in mouse and 42 kb in human. ... PD-L2 is inducibly expressed on DCs, macrophages, and bone marrow–derived mast cells. PD-L2 can also be induced on monocytes and macrophages by GM-CSF, IL-4, and IFN-γ (24, 32). ... PD-L2 not only may influence responses by engaging PD-1 and modifying TCR or BCR signaling, but also may deliver signals into PD-L1- or PD-L2-expressing cells. The first indication that PD-L2 may transmit signals into DCs came from studies using a novel, naturally occurring human IgM antibody (sHIgM12), isolated from a patient with Waldenstrom’s macroglobulinemia, that binds both mouse and human PD-L2 (44). Although DCs treated with sHIgM12 do not upregulate MHC II or B7 costimulatory molecules, they produce greater amounts of proinﬂammatory cytokines, particularly TNF-α and IL-6, and stimulate naive T cell proliferation.""
Evidence from Cited Paper: ""Cross-linking B7-DC Directly Activates Immune Functions of Dendritic Cells ... B7-DC molecules are known to function as ligands on antigen-presenting cells (APCs), enhancing T cell activation. In this study, cross-linking B7-DC with the monoclonal antibody sHIgM12 directly potentiates dendritic cell (DC) function by enhancing DC presentation of major histocompatibility complex–peptide complexes, promoting DC survival; and increasing secretion of interleukin (IL)-12p70, a key T helper cell type 1 promoting cytokine. Furthermore, ex vivo treatment of DCs or systemic treatment of mice with sHIgM12 increases the number of transplanted DCs that reach draining lymph nodes and increases the ability of lymph node APCs to activate naive T cells.""",FALSE
15084715,423212,Probing the MicroRNA and Small Interfering RNA Pathways with Virus-Encoded Suppressors of RNA Silencing,15372043,-,RNA silencing in plants,"In principle, the plant viral suppressor proteins could be used as a tool to investigate the mechanism of RNA silencing. However, in most instances, including the prototype HCPro suppressor from potyviruses, there are conflicting data about their mechanism of action73,74,75. Only for two suppressors — p21 encoded by beet western yellow virus73 and p19 encoded by the tomato bushy stunt virus (TBSV) group63,74 — is there a clear indication of how they act. In both cases, the virus suppressor protein binds to and, presumably, inactivates siRNAs so that they do not target the corresponding viral RNAs. For p19, the high resolution crystal structures for two different TBSV-group proteins, combined with molecular and biochemical data, indicate precisely how silencing is blocked. A tail-to-tail p19 homodimer forms α-helix brackets around the ends of the siRNA base-paired region76,77 and, consequently, an siRNA or miRNA is prevented from being incorporated into an active RISC63,74,78. In transgenic Arabidopsis expressing p19 (ref. 73), both miRNA and its complement (miRNA*) accumulate, whereas in the control plants without p19 the miRNA* is undetectable74. Presumably the miRNA–miRNA* duplex is normally a short-lived precursor of miRNA–RISC79, but is stabilized in the presence of p19.","+Manipulation of Images
+Investigation by Journal/Publisher
+Investigation by Company/Institution
+Duplication of Image",{'Other'},,,Other,"The citing paper mentions the historical context of RNA silencing and viral defense but does not directly use the specific data, results, or methods from the retracted paper. Instead, it discusses general concepts and background information about RNA silencing pathways, mechanisms, and viral suppressors. The references to the retracted paper are peripheral and serve to provide background rather than to support or build upon its specific findings.","Citing Paper: ""Wingard’s paper is an appropriate starting point for the current interest in RNA silencing because it illustrates a viral defence role for RNA silencing which may have been one of its original functions in primitive eukaryotes.""  
Cited Paper: ""In plants, small interfering RNAs (siRNAs) and microRNAs (miRNAs) are effectors of RNA silencing, a process involved in defense through RNA interference (RNAi) and in development.""",Uses_Methods,The citing paper describes the experimental system used in the retracted paper to compare viral silencing suppressors. It explicitly mentions the use of transgenic Arabidopsis expressing these suppressors to analyze their effects on RNA silencing pathways. This indicates a direct adoption and description of the methodology established in the retracted work.,"Evidence from Citing Paper: ""In transgenic Arabidopsis expressing p19 (ref. 73), both miRNA and its complement (miRNA*) accumulate, whereas in the control plants without p19 the miRNA* is undetectable74.""
Evidence from Cited Paper: ""We have now established such a comparative system in Arabidopsis, and based on the contrasted effect of those factors on the accumulation and/or the function of siRNAs, miRNAs, and other types of endogenous small RNAs, this work provides experimental support to the widely held belief that these proteins are targeted against very diverse steps of the silencing machinery.""",FALSE
15769183,1065267,Neutralizing Aptamers from Whole-Cell SELEX Inhibit the RET Receptor Tyrosine Kinase,27807347,5700751,"Aptamers as targeted therapeutics: current potential and
challenges","Although protein-based SELEX may be applied to purified proteins, protein targets on the surface of whole cells, or even proteins within live animals, it is not applicable for unknown proteins, insoluble proteins, or proteins that only function in the native conformation or a
multiprotein complex27. In some cases, the aptamers generated via purified protein-based SELEX fail to recognize the target protein on the cell surface28–30. Whole cell-based SELEX offers a reasonable alternative to overcome some of the limitations of purified protein-based SELEX","+Unreliable Image
+Copyright Claims
+Concerns/Issues About Image",{'Other'},,,Uses_Methods,"The citing paper describes using a whole-cell SELEX protocol to generate aptamers that recognize the RET receptor, directly referencing the methodology used in the retracted paper. It discusses selecting aptamers against RET-expressing cells and testing their ability to inhibit RET activity, which aligns with adopting the specific experimental approach detailed in the cited work. The focus on the SELEX process and subsequent functional assays indicates reliance on the methods described in the retracted article.","Citing Paper: ""A library of 29-fluoropyrimidine (29F-Py), nuclease-resistant RNAs was subjected to a differential SELEX protocol against intact cells expressing different forms of the human RET oncogene.""  
Cited Paper: ""Nuclease-resistant aptamers that recognize the human receptor tyrosine kinase RET were obtained using RET-expressing cells as targets in a modified SELEX procedure.""",Uses_Methods,"The citing paper describes its own methodology for selecting aptamers against the RET receptor. It explicitly references the SELEX procedure used in the retracted paper as the basis for its own approach. The citing paper details the use of a ""modified SELEX procedure"" and the selection of aptamers using ""RET-expressing cells as targets,"" mirroring the core methodology of the retracted paper.","Evidence from Citing Paper: ""Here we adopted a whole-cell SELEX strategy to target RET in a complex environment that is expected to expose a native protein to the selection procedure, thus best mimicking in vivo conditions.""
Evidence from Cited Paper: ""Here we adopted a whole-cell SELEX strategy to target RET in a complex environment that is expected to expose a native protein to the selection procedure, thus best mimicking in vivo conditions.""",TRUE
15650183,544105,Hepatitis C Virus (HCV) Constitutively Activates STAT-3 via Oxidative Stress: Role of STAT-3 in HCV Replication,28039563,-,Implications of oxidative stress on viral pathogenesis,". Because these cells are very close to hepatocytes, some RS (for example, H2O2) are able to diffuse into hepatocytes and induce intracellular signaling [68]. In this context, these RS would amplify intracellular effects caused by the viral proteins themselves, although they could also activate intracellular antioxidant defences that could prevent or allow increases in oxidative stress [69].Generally, in parallel to the RS increase in HCV infection, there is a decrease in antioxidant defence, such as glutathione content, which contributes to the oxidation of important cellular components. These changes can lead to the development of cirrhosis and hepatocellular carcinoma [69–72]. Some clinical studies have shown that the addition of antioxidants can improve liver injury caused by oxidative stress and this could be a potential treatment for HCV infection [71, 72].","+Original Data not Provided
+Duplication of Image
+Concerns/Issues About Data","{'Data', 'Other'}",,,Other,"The citing paper discusses oxidative stress and viral pathogenesis broadly, referencing the general concept that viruses induce reactive species and oxidative damage, but does not directly use specific data, results, or methods from the retracted paper. It mentions the role of oxidative stress in viral infections and therapeutic approaches, aligning with the general background rather than specific findings. The citation does not build upon or analyze the particular experimental data, results, or methods from the retracted article, nor does it explicitly state that its conclusions are based on that study.","Citing Paper: ""Reactive species, antioxidant defences and oxidative stress...an imbalance in the production of reactive species and the body’s inability to detoxify these reactive species is referred to as oxidative stress.""  
Cited Paper: ""The activities of RNA translation and replication associated with the HCV life cycle cause induction of the ER stress activating unfolded protein response and an ER overload response (24, 45). One of the consequences of the ER overload response is the activation of STAT-3 via Ca2+ signaling and induction of ROS, triggering an ER-to-nucleus signal transduction pathway (24, 35).""",Uses_Results,"The citing paper discusses the role of oxidative stress in Hepatitis C Virus (HCV) pathogenesis and mentions that the non-structural protein NS5A can activate transcription factors like STAT-3 by inducing oxidative stress. This directly reflects a key finding presented in the retracted paper, which investigated the constitutive activation of STAT-3 via oxidative stress in HCV. The citing paper uses this specific result to support its broader discussion on how viruses induce oxidative stress.","[Evidence from Citing Paper: ""The non-structural protein NS5A can activate cellular transcription factors such as NF-kB and STAT-3 by inducing oxidative stress in the cells [57].""] 
 [Evidence from Cited Paper: ""Here, we demonstrate the constitutive activation of STAT-3 in HCV replicon-expressing cells. The HCV-induced STAT-3 activation was inhibited in the presence of antioxidant (pyrrolidine dithiocarbamate) and Ca2+ chelators (BAPTA-AM and TMB-8).""]",FALSE
15632075,543426,DNA Methyltransferase 3b Regulates Nerve Growth Factor-Induced Differentiation of PC12 Cells by Recruiting Histone Deacetylase 2,16136652,-,DNA methylation and human disease,"The former idea is supported by recent findings that DNMT3B interacts with histone deacetylases (HDACs), histone methylases and chromatin-remodelling enzymes114,115. In addition, DNMT3B can profoundly influence neuronal differentiation of multipotent cells in a manner that depends on its ability to interact with HDACs, but not on its ability to methylate DNA116. Both methylation-related and unrelated defects might therefore be important in ICF syndrome.","+Misconduct - Official Investigation/Finding
+Investigation by Company/Institution
+Falsification/Fabrication of Data",{'Other'},,,Uses_Methods,"The citing paper discusses specific experimental techniques and molecular interactions originally described in the retracted paper, such as DNA methylation, protein interactions, and chromatin remodeling. It references these methods to support its own experimental findings, indicating reliance on the original methodologies. The detailed description of experimental procedures and the focus on molecular interactions suggest that the citing paper uses the methods from the retracted paper.","Citing Paper: ""DNA methylation and chromatin — unraveling the tangled web. Oncogene 21, 5361–5379 (2002).""
Cited Paper: ""The N-terminal region of Dnmt3b that harbors the ATRX domain is required for NGF-dependent differentiation... We raised the possibility that Dnmt3b could recruit Hdacs to facilitate the differentiation process. We first determined whether Hdac activity was critical for neurite outgrowth. Treatment of PC12 cells with NGF in the presence of the Hdac inhibitor TSA (50 nM) or depsipeptide (10 nM) generated only a few visible neurites, even after 5 days of NGF treatment, whereas extensive neurite outgrowth was observed in cells treated with NGF alone (P  0.01) (Fig. 7A).""",Other,"The citing paper mentions the retracted paper in the context of discussing the role of DNMT3B in neuronal differentiation and its interaction with HDACs. It cites the retracted paper as a source for this specific finding, indicating that the retracted paper's results are being referenced. However, it does not directly use the data, replicate the methods, or claim consistency with the retracted paper's findings.","[Evidence from Citing Paper: ""In addition, DNMT3B can profoundly influence neuronal differentiation of multipotent cells in a manner that depends on its ability to interact with HDACs, but not on its ability to methylate DNA116.""] 
 [Evidence from Cited Paper: ""The Dnmt3b-mediated differentiation was attributed to its N-terminal domain, which recruits histone deacetylase 2 (Hdac2), as demonstrated by (i) impeding of differentiation by the Hdac inhibitors, (ii) facilitation of the differentiation process by overexpression of the N-terminal domain of Dnmt3b, (iii) higher Hdac activity associated with Dnmt3b after NGF treatment, and (iv) coimmunoprecipitation and cosedimentation of Dnmt3b speciﬁcally with Hdac2 in a glycerol density gradient. These data indicate a novel role of Dnmt3b in neuronal differentiation.""]",FALSE
7862147,230378,Inhibition of HMGI-C Protein Synthesis Suppresses Retrovirally Induced Neoplastic Transformation of Rat Thyroid Cells,18004397,-,Roles of HMGA proteins in cancer,"Several studies indicate that HMGA proteins have oncogenic activities, being causally involved in neoplastic transformation. When normal thyroid cells (FRTL5) were transfected with an antisense construct against HMGA2 and then infected with transforming myeloproliferative sarcoma virus or KiMSV, they expressed significant levels of the retroviral transforming oncogenes v-mos or v-ras-Ki, and ceased being dependent on thyroid-stimulating hormones18. However, in contrast with untransfected cells or cells transfected with the sense construct, those containing the antisense construct did not grow in soft agar or form tumours in athymic mice, even though they did not show any significant differences in the expression of the viral oncogenes in comparison with the untransfected cells. HMGA1 protein was also reduced by HMGA2 antisense, suggesting HMGA1 might also have a role in neoplastic transformation18. Therefore, to confirm the role of the HMGA1 gene in thyroid-cell transformation, the experiments were repeated with HMGA1 antisense, followed by infection with KiMSV.","+Objections by Third Party
+Objections by Author
+Manipulation of Images
+Investigation by Journal/Publisher
+Duplication of Image
+Concerns/Issues About Data","{'Other', 'Data'}",,,Uses_Methods,"The citing paper discusses the experimental approach of using antisense constructs to block HMGA2 protein synthesis, which directly references the methodology used in the retracted paper. The original paper describes transfection with antisense constructs to inhibit HMGA-C and HMGA1 proteins, and the citing paper similarly employs antisense technology to suppress HMGA1 and HMGA2 expression. This indicates that the citing paper explicitly adopts and builds upon the specific method detailed in the retracted study.","Citing Paper: ""In order to confirm the role of the HMGA1 gene in thyroid-cell transformation, the experiments were repeated with HMGA1 antisense, followed by infection with KiMSV.""  
Cited Paper: ""Transfection of an antisense construct for the HMGI-C cDNA into normal thyroid cells... demonstrated that the antisense construct prevented the appearance of the malignant phenotype.""",Uses_Results,The citing paper explicitly references the findings of the retracted paper regarding the role of HMGI-C protein synthesis inhibition in preventing neoplastic transformation of rat thyroid cells. It states that the retracted paper demonstrated the causal role of HMGA proteins in thyroid cell transformation by using antisense technology to block HMGA2 protein synthesis. This directly builds upon and treats the retracted paper's conclusions as established fact.,"[Evidence from Citing Paper: ""By using an antisense technology to block HMGA2 protein synthesis, this paper demonstrates the causal role of HMGA proteins in thyroid cell transformation induced by retroviral transforming oncogenes.""] 
 [Evidence from Cited Paper: ""Therefore, the HMGI-C protein seems to play a key role in the transformation of these thyroid cells."" ""Transfection of an antisense construct for the HMGI-C cDNA into normal thyroid cells... did not demonstrate the appearance of any malignant phenotypic markers... Therefore, the HMGI-C protein seems to play a key role in the transformation of these thyroid cells.""]",FALSE
17535111,1877818,PER-TIM Interactions with the Photoreceptor Cryptochrome Mediate Circadian Temperature Responses in Drosophila,20148687,,The Mammalian Circadian Timing System: Organization and Coordination of Central and Peripheral Clocks,"Another remarkable aspect of peripheral clock robustness is temperature compensation, a property described several decades ago for many organisms (211, 212). In contrast to most chemical and biochemical processes, which are accelerated with increasing temperature, the period length of circadian oscillators remains nearly constant over a wide range of physiological temperatures (213, 214). This feature even applies to circadian oscillators operative in cells of homeotherm organisms, such as cultured mammalian fibroblasts.","+Results Not Reproducible
+Doing the Right Thing","{'Other', 'Results'}",,,Other,"The citing paper mentions the original findings of the retracted study but explicitly states that they could not replicate two of the three key results, including the formation of CRY-PER-TIM complexes in response to heat and the role of CRY in heat-mediated phase shifts. The authors acknowledge the failure to reproduce the original experimental evidence and retract the paper, indicating that their use of the retracted work is peripheral and not based on confirmed data. This suggests the citation functions as a general background or acknowledgment of prior claims rather than a direct use of specific data, results, or methods.","Citing Paper: ""We subsequently repeated this experiment ourselves and also observed what Young and colleagues told us, i.e., we could not replicate the original observation that implicated CRY in heat-mediated phase shifts.""  
Cited Paper: ""Our original paper strongly implicated the photoreceptor cryptochrome (CRY) in the response of the Drosophila circadian system to temperature... We were contacted some months ago by Mike Young and colleagues at The Rockefeller University, who could not repeat the second finding.""",Other,"The citing paper is a retraction notice for the original paper. It explicitly states that two of the three key findings from the original work could not be reproduced. Therefore, it does not use the data, results, or methods in any of the positive categories, nor does it show consistency with them. The primary function is to announce the retraction and explain the reasons.","Evidence from Citing Paper: ""We have therefore failed to reproduce two of the three findings in the original paper. Although we have absolutely no explanation for the discrepancies with the original results and despite the lack of an attempt to reproduce the first finding (the heat-mediated formation of a CRY-PER-TIM interaction), the failure to reproduce two of the three findings in the original paper compels us to retract the paper.""
 Evidence from Cited Paper: ""We show here that a heat pulse also mediates this interaction, and heat-induced phase shifts are severely reduced in the cryptochrome loss-of-function mutant cryb. The period mutant perL manifests a comparable CRY dependence and dramatically enhanced temperature sensitivity of biochemical interactions and behavioral phase shifting. Remarkably, CRY is also critical for most of the abnormal temperature compensation of perL flies, because a perL; cryb strain manifests nearly normal temperature compensation.""",TRUE
